RoadName,RouteType,RoadKey
GOSHEN RD,County,1199254639990896
BEALL AVE #2,Municipality,9735215104329978
WASHINGTONIAN BLVD,Municipality,7224180738491710
KILCREGGAN TERR,County,313688242625956
BELFORD PL,Municipality,9245202577276162
BURNT MILLS AVE,County,4723972756839071
NORTHBOUND 270,UNKNOWN,8446737558719876
MAIN ST,Municipality,4660710126194218
FOREST GLEN RD,County,6348574661209490
EDNOR RD,County,8245114528769240
WAVERLY ST,Other Public Roadway,5140392230918517
STANLEY AVE,Municipality,9883561125603912
RESEARCH BLVD,Municipality,4491958856630653
CHERRY VALLEY DR,Other Public Roadway,3636258424411377
EDSON LA,County,602815170577580
GAINSBOROUGH RD,County,107527402270506
GOLDEN ASH WAY,Municipality,3168703281656291
ALDERTON LA,County,9913904664110076
CAPITOL VIEW AVE,Maryland (State),3849341967604124
MT VERNON PL,Municipality,200942646572486
TRAVILLE  GATEWAY DR,County,4727572904056855
OMEGA DR,County,8426361761180705
WEST OLD BALTIMORE RD,County,3275035215192719
DARNESTOWN RD,County,28596908957711
SENECA MEADOWS PKWY,County,221466616673725
NORWOOD RD,Maryland (State),1731418443824382
GERMANTOWN RD,Maryland (State),3202275317843380
NEEDWOOD RD,County,9866041602977993
THAYER AVE,County,4545188728761907
WESTBARD AVE,County,2052288921397402
HIGHVIEW AVE,County,3822709908517355
TURBRIDGE DR,County,1525690206747446
KEMPTOWN RD,Maryland (State),6529873378756977
S CAMPUS DR,Service Road,3343649513105960
BATSON RD,County,7384364281936365
SILVER SPRING AVE,County,887072325756327
WACOMOR DR,County,6213617059227252
RIVER RD,County,2421408867616646
MARKET ST,Municipality,4211733669265445
SILVER ASH CT,County,8830014449837453
SIMMONS DR,Municipality,2068973958418754
CAREY ST,County,7963085819697237
GRANDIN AVE,Municipality,2533378552136383
W WATKINS MILL RD,Municipality,7473007514763116
SPRING ST,County,8356792977061148
METROPOLITAN AVE,Maryland (State),8840809600344108
DEWEY RD,County,8886326516954162
WASHINGTON AVE,County,2374024335045424
CHESTNUT ST,Municipality,3773360613594093
LITTLE SENECA PKWY,County,5966060817396231
CINNAMON DR,County,575358522950523
KENILWORTH DRWY,Municipality,7727386369931763
WINTERGATE DR,County,9421867476716124
DAIRYMAID DR,County,3723891163962668
SECOND AVE,County,4335944513939814
OLD DOVER RD,County,3584291198431868
WATERS LANDING DR,County,4847500645087310
GROSVENOR LA,County,9624603609515706
DIXON AVE,County,3134902987589904
PICKERING PL,County,3984873736014044
DENIT ESTATES DR,County,5095663184177736
ODENDHAL AVE,Municipality,2002984095283941
CLUB HOUSE RD,County,9236114947164831
POOKS HILL RD,County,8957556589418796
GLENALLAN AVE,Other Public Roadway,7675408837489312
WASHINGTONIAN BLVD,County,6345561408040204
COLLEGE VIEW DR,County,4601792168593603
KNOWLES AVE,Maryland (State),915669685319325
RITCHIE AVE,County,7471650139153778
HEWITT AVE,County,2242153826664605
WOODWELL RD,County,201871292194761
LOG HOUSE RD,County,1533193728578043
DECOVERLY DR,UNKNOWN,4031682194875077
POSTOAK RD,County,5420788446806409
N WASHINGTON ST,Municipality,3959662123727166
SANDY SPRING RD,Maryland (State),5022807666112091
OLD RANDOLPH RD,County,3517283736760468
BATTERY LA,County,3774978101447126
BILTMORE DR,County,3356267798773182
MEADOWCROFT LA,County,4100500522047188
JUSTICE RD,County,7360090773367651
W EDMONSTON DR,Municipality,2900718154001121
GLEN RD,County,1912189349021402
SADDLE RIVER DR,County,6378155229658136
EMORY GROVE RD,County,36400526440806
ROCKLEDGE DR,County,9639173670162862
HOBART DR,County,2205814986192492
LONDON LA,County,459071504706221
COLUMBIA BLVD,County,5267462721107280
MATENY RD,County,1390149187382918
INSPIRATION LA,Municipality,4302652247323035
POWDER MILL RD,County,2567472143707400
MAYFIELD DR,County,368653242147843
PROFESSIONAL DR,Municipality,2741267878047537
CHAPELGATE RD,County,6263816743228406
STALEYBRIDGE RD,County,6901046289015657
SCHUYLKILL RD,County,3891758246357210
COUNTY CT,Other Public Roadway,9415897375587435
ATLANTIC AVE,Municipality,557225359306380
LITTLE SENECA PKWY,UNKNOWN,9499852071961865
INDEPENDENCE ST,County,7723349871961125
PARKLAWN DR,County,789578597389500
ELLINGTON BLVD,UNKNOWN,1588270987465464
TUCKERMAN LA,County,5080022737134299
FLETCHER PL,Municipality,3393940283875847
NEW HAMPSHIRE AVE SERV RD,Municipality,8905759637484622
WILDCAT RD,County,8478266173691356
STRINGTOWN RD,Other Public Roadway,8483472679962451
HOWE DR,County,7515614289174033
BOILING BROOK PKWY,County,2425561878547089
CRYSTAL ROCK DR,UNKNOWN,3078075948430748
SCHOOL DR,Municipality,1142552651999744
NEWCUT RD,Other Public Roadway,1459717477234860
MERRIMAC DR,Municipality,7881664133005444
PERRY AVE,Municipality,1512347540465936
HIGHLAND RIDGE AVE,Municipality,9212451037167301
REDLAND RD,County,9696254272695630
CLERMONT PL,Municipality,6417236111134996
S LEISURE WORLD BLVD,UNKNOWN,8378694839395896
CONGRESSIONAL LA,Municipality,5535566568868664
LAYTONSVILLE RD,Maryland (State),7528477191383850
CREEK VALLEY LA,Municipality,8459653382858175
REEDIE DR,County,5670396305534368
TANYARD HILL RD,Municipality,4745604706709065
CONNECTICUT AVE,County,2128650102927787
COLLEGE PKWY,Municipality,5332282405197618
HINES RD,County,3992269269393601
BUCKLODGE RD,Maryland (State),7310707404045634
LONGDRAFT RD,County,1095909444192167
RAMP 7 FR IS 370 WB TO IS 270 SB,Ramp,2168274393617073
HIGH CORNER ST,County,7741750108489397
RAMP 5 FR US 29 SB TO BRIGGS CHANEY RD,Ramp,4695272477951742
W WILLARD RD,County,2916273032808173
VEIRS MILL SERV RD,County,4757525517062725
NEELSVILLE CHURCH RD,County,1633721840143493
PINEY MEETINGHOUSE RD,County,5386409165832801
PERSIMMON TREE RD,County,5649845508558429
S GLEN RD,County,197389978076492
HADDON DR,County,2292536257991500
GAME PRESERVE RD,County,1979639421630201
GOLF ESTATES DR,County,9731289774069864
HUNGERFORD DR,Maryland (State),4906760034738084
SHILOH CHURCH RD,UNKNOWN,6721165605464809
RIDGEFIELD RD,County,2022575274806909
NEERWINDER ST,County,2537681989897022
FOREST GLEN RD,Maryland (State),5564981422910326
ROSSMOOR BLVD,County,1370637523675876
MARCIA LA,Municipality,8889827005122532
NEWCUT RD,County,3734701365574268
RAMSEY AVE,County,2917038625866457
2014 BALTIMORE ROAD,UNKNOWN,6830085135421239
CEDAR TREE DR,Other Public Roadway,2726187356865514
MONTROSE AVE,County,6641390986705583
CLARIDGE RD,County,1183766087308093
RAMP 10 FR RAMP 5 TO OMEGA DR,Ramp,9549906713342554
LELAND ST,County,7351458436426257
ASHLEIGH GREENE RD,County,5514721290082152
DIVISION ST,County,8271079131046470
OLD BALTIMORE RD,County,3906325989897185
ACCORD DR,County,589426242856370
CHAPMAN AVE,Municipality,5468689073361816
E GUDE DR,Municipality,3086430250072733
LAMBERTON DR,County,6493618738751828
MIDCOUNTY HWY,Maryland (State),3882055954319754
WATKINS MILL RD,UNKNOWN,1515562954627980
OVERLEA DR,County,754388922883912
ARROWHEAD RD,County,6345232175334953
KENTLANDS BLVD,Municipality,2123523869737848
PARTRIDGE DR,County,299300998647744
HOLTON LA,Municipality,1461872631554201
FIELDS RD,County,6732162884247709
SHAKESPEARE BLVD,County,697993049681148
JUDSON RD,County,2537840591753833
PLEASANT RIDGE DR,County,3321535907346590
GIRARD STREET,UNKNOWN,482212505659010
CHERRY LAUREL LA,County,9619567226074012
KING FARM BLVD,Municipality,833710095465812
ELLSWORTH DR,County,8034483918736540
HATHAWAY DR,County,342784259901357
FRANKLIN AVE,County,3094218401673445
THIRTEENTH AVE,Municipality,855172008396979
HAVARD ST,County,1294400687567743
ELM ST,County,1915715673883513
10TH AVE,County,3324574905497939
RAMP 6 FR RP 3 (FR MD200 EB) TO MD97 SB,Ramp,9390487711419674
TRIANGLE LA,County,9439142135278455
BUCKNELL DR,County,891742685443536
TWINBROOK PKWY,County,4505319206634140
TRAVILAH RD,County,4096686202662173
DILSTON RD,County,7259754787171885
SPARTAN RD,County,7457796982308481
MIDTOWN RD,Municipality,337754420546448
ODENDHAL AVE,County,7408472834148127
JENNINGS RD,County,1672580268640674
BURLINGTON AVE,Maryland (State),200088595810112
NEW HAMPSHIRE AVE SER RD,County,5811287078122136
BUSHEY DR,County,2040370609732922
SLIGO CREEK PKWY,Government,8891242047416743
CRYSTAL ROCK DR,Other Public Roadway,4820583649437412
LANIER DR,County,7109124302920689
RENDALE CT,County,2619895588267174
CHICKASAW DR,County,9583301797851960
MONTICELLO AVE,County,992551024012468
GRANDVIEW AVE,County,6596794406628299
OAKVIEW DR,County,4991976696759948
E JEFFERSON ST,County,5287007920292639
RAMP 2 FR MD 118 WB TO IS 270 NB,Ramp,5646701979617922
MAY ST,County,141959807513606
MONROE ST,Municipality,6693060343323049
TAFT ST,Municipality,7712343743385758
BREGMAN RD,County,7153177870540436
LIVINGSTON ST,County,8681150887607954
ELLINGTON BLVD.,UNKNOWN,4030410322498430
DENNIS AVE,County,5352152355981673
GLADSTONE DR,Municipality,9951903055463987
W DEER PARK RD,Municipality,3826577284116979
RAMP 1 FR IS 270 NB TO MD 118 WB,Ramp,3418843814919461
AUGUST DR,County,6401264941193085
MONTCLAIR DR,County,8568220366024845
ROCKING HORSE RD,County,8923897281565627
SEVERN RD,County,951817726855701
TAKOMA AVE,Municipality,5884259832762275
SORREL AVE,County,5299197141234781
FIRST ST,Maryland (State),3061978792393151
RIFFLE FORD RD,County,2766380734310586
MAIN ST,Maryland (State),6676754628254912
BANK ST,Municipality,6687263306536775
PINE TOP LA,Other Public Roadway,6625428903560243
