RoadName,RouteType,RoadKey
MONUMENT ST,Municipality,952537746415570
EXIT #33,UNKNOWN,4244811106585601
WEISMAN RD,County,1873437957973624
CINNAMON DR,County,575358522950523
GROSVENOR PL,UNKNOWN,811646369857043
NORTHWYN DR,County,7876877011377419
OAK DR,County,4285734277140179
GLENMONT CIR #1,Other Public Roadway,41941829628911
BONNETT ST,County,2196802361014739
LUBAR WAY,County,8627408470487497
SCHOOL DR,Municipality,1142552651999744
WINDSOR MANOR LA,County,2729553379946561
SERPENTINE WAY,County,2444574380880092
HENDERSON AVE,County,1429668532757306
ROCKING SPRING DR,County,5796464811640609
EDGEWOOD AVE,County,6696348880921858
PLUMMER DR,County,9760113506407046
WESTMORELAND CIR,Maryland (State),3071119080617305
PRINCE GEORGES CO/L,UNKNOWN,5089337550561535
S WESTLAND DR,County,7131676121544230
13TH ST,County,3848511146538103
DUFIEF DR,County,9833958201368065
BURLINGTON AVE,Maryland (State),200088595810112
RAMP 7 FR SHADY GROVE RD WB TO RAMP 6,Ramp,2350029992958447
WOODFIELD RD EXT,Other Public Roadway,3045143745568839
VALLEYWOOD DR,County,476200798873004
MONTROSE RD,Maryland (State),7053241971029489
E DIAMOND AVE,Municipality,6897842092844078
FOUNDERS MILL DR,County,6308542379117057
BRIGGS CHANEY ROAD,UNKNOWN,5796807283181589
POTOMAC EDGE WAY,County,1233490671407598
FIRSTFIELD RD,Municipality,1106859133456978
SHOREFIELD RD,County,1463388824341263
ADAMS DR,County,3598064012334404
E GUDE DR,Municipality,3086430250072733
RICHTER FARM RD,County,2351396989746912
RAMP 6 FR BRIGGS CHANEY RD TO US 29 SB,Ramp,2493259025814199
RAMP 4 FR US 29 NB TO IS 495 EB,Ramp,4826736316525293
QUINCE ORCHARD RD (BACK),Maryland (State),2017269370548288
RAMP 5 FR STONESTREET AVE TO MD 28 EB,Ramp,953523369813437
ROAD END,UNKNOWN,4833264442371325
FRALEY FARM RD,County,689030651181060
GAIL AVE,Municipality,7440678867741073
FOLEY ST,County,3483759250549948
OSCEOLA RD,County,3664017600682512
TURKEY BRANCH PKWY,County,9425066222700658
MILLSTREAM DR,UNKNOWN,2152938856716884
R/R #CSX 140 483 L,UNKNOWN,4435645419138637
CRAIGLAWN RD,County,8103817186135226
BALTIMORE RD,County,1322793494806763
SONGBIRD LA,County,9797149444430773
KENSINGTON V.F.D.,UNKNOWN,9095190636585080
LANGLEY DR,County,8795885162246098
BANGOR DR,County,9470503894597395
JACKSON RD,County,5070630466800991
ROBEY RD,County,9117985746936711
WASHINGTON AVE,County,2374024335045424
GLENEAGLESDR,UNKNOWN,7538250046735860
ASTON MANOR DR,County,1148082669823765
LISA DR,County,5874221948880507
CARDEROCK SPRINGS DR,Other Public Roadway,3149714656743025
ENT TO THE GROVE SHOPPING CENTER,UNKNOWN,4570691338302785
